name,id,Tc,Cuprate,Fe-based
Ag0.005Zn0.995,2473.0,0.763,0,0
Ag0.035Cd0.01Sn0.955,9686.0,3.65,0,0
Ag0.03Tl0.97,505.0,2.67,0,0
Ag0.04Cd0.784Cu0.01Zn0.166,1603.0,0.0,0,0
Ag0.12In0.88,7679.0,4.69,0,0
Ag0.15Bi0.85,5445.0,5.3,0,0
Ag0.15Pb0.975Sn0.01,6784.0,7.25,0,0
Ag0.16D0.47Pd0.84,867.0,15.3,0,0
Ag0.438Hg0.562,3882.0,0.64,0,0
Ag0.56Cu0.22Sn0.5Zn0.17,9246.0,0.0,0,0
Ag0.625Al0.375,359.0,0.106,0,0
Ag0.667Al0.333,1804.0,0.126,0,0
Ag0.6Al0.4,9463.0,0.088,0,0
Ag0.775Sn0.225,7562.0,0.09,0,0
Ag0.7Al0.3,1589.0,0.11,0,0
Ag0.815Sn0.185,9239.0,0.06,0,0
Ag0.835Sn0.165,7620.0,0.047,0,0
Ag0.845Sb0.155,7097.0,0.037,0,0
Ag0.845Sn0.155,2384.0,0.025,0,0
Ag0.85Sn1.15Se2,696.0,6.23,0,0
Ag0.95Sn1.05Se2,3819.0,5.28,0,0
Ag1B2,661.0,6.7,0,0
Ag1Bi1,6017.0,0.0,0,0
Ag1Cl2,4212.0,0.0,0,0
Ag1La1,2352.0,1.2,0,0
Ag1Lu1,1203.0,0.0,0,0
Ag1Mg1,1998.0,0.0,0,0
Ag1Mo6S8,8941.0,7.7,0,0
Ag1Sn1Se2,6260.0,4.66,0,0
Ag1Tl1,5719.0,2.67,0,0
Ag2Bi1,984.0,0.0,0,0
Ag2I1,2336.0,0.066,0,0
Ag2In1,9410.0,2.11,0,0
Ag2S1,8827.0,0.0,0,0
Ag2Se1,7619.0,0.0,0,0
Ag3Sb1,8043.0,0.0,0,0
Ag3Sn1,5060.0,0.0,0,0
Ag4Cu9,4828.0,0.0,0,0
Ag5Cd8,768.0,0.0,0,0
Ag5Rb1,2106.0,0.0,0,0
Ag7B1F4O8,1390.0,0.15,0,0
Ag7B4F4O8,4055.0,0.15,0,0
Ag7F1O8,7992.0,0.3,0,0
Ag7F4O8B1,2964.0,0.15,0,0
Ag7N1O11,4419.0,1.04,0,0
Al0.005V0.995,8864.0,4.82,0,0
Al0.01V0.99,6238.0,4.49,0,0
Al0.029Ti0.971,1779.0,0.65,0,0
Al0.02Au0.92Ga0.06,4019.0,0.158,0,0
Al0.04Au0.92In0.04,8867.0,0.0555,0,0
Al0.08Au0.92,214.0,0.088,0,0
Al0.102Ti0.898,7463.0,0.73,0,0
Al0.11Mg0.89,7486.0,0.0,0,0
Al0.146Cr0.854,7169.0,0.0,0,0
Al0.14Au0.86,1021.0,0.385,0,0
Al0.175Nb0.775Zr0.05,8578.0,10.0,0,0
Al0.18La0.82,2111.0,4.65,0,0
Al0.1V0.9,6995.0,1.96,0,0
Al0.22La0.78,3348.0,4.3,0,0
Al0.23Nb0.75Zr0.013,289.0,18.3,0,0
Al0.245Nb0.725,4664.0,18.4,0,0
Al0.25V0.75,112.0,16.9,0,0
Al0.27La0.73,9510.0,3.82,0,0
Al0.2La0.8,3552.0,4.43,0,0
Al0.2Si0.8V3,3590.0,15.7,0,0
Al0.308V0.692,8477.0,0.0,0,0
Al0.32La0.68,2265.0,3.23,0,0
Al0.39Mg0.61,3404.0,1.5,0,0
Al0.3Ga0.7V3,105.0,13.9,0,0
Al0.5Ge0.5Nb1,9763.0,12.6,0,0
Al0.61Mg0.39,4270.0,0.85,0,0
Al0.8Ge0.2Nb3,9914.0,20.05,0,0
Al0.95B0.05Nb3,5383.0,19.1,0,0
Al0.964Ge0.036,6034.0,2.74,0,0
Al0.992Cu0.008,6522.0,0.0,0,0
Al0.998Mn0.002,8427.0,0.262,0,0
Al0.999Fe0.001,5944.0,1.5,0,0
